City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Lavrentiya,RU,2021-01-19 17:00:37,65.5833,-171.0,-16.51,82,3,5.46
237,Port Augusta,AU,2021-01-19 17:00:37,-32.5,137.7667,66.99,82,18,9.22
238,Gbongan,NG,2021-01-19 17:00:37,7.4667,4.35,94.44,17,45,1.54
239,Vyartsilya,RU,2021-01-19 17:00:38,62.1764,30.693,22.5,98,98,4.05
240,Salinopolis,BR,2021-01-19 16:57:18,-0.6136,-47.3561,82.13,77,67,10.29
241,Myitkyina,MM,2021-01-19 17:00:38,25.3833,97.4,58.75,95,63,2.35
242,Nyurba,RU,2021-01-19 17:00:39,63.2842,118.3319,-46.39,76,100,8.16
243,Talnakh,RU,2021-01-19 17:00:39,69.4865,88.3972,-25.47,85,100,2.98
244,Portland,US,2021-01-19 16:57:10,45.5234,-122.6762,39.99,87,20,3.2
245,Luderitz,NA,2021-01-19 17:00:39,-26.6481,15.1594,73.85,55,0,30.44
246,Half Moon Bay,US,2021-01-19 17:00:39,37.4636,-122.4286,57.2,19,1,28.77
247,Mackenzie,CA,2021-01-19 17:00:40,55.2999,-123.1698,33.8,75,90,17.27
248,Coquimbo,CL,2021-01-19 17:00:40,-29.9533,-71.3436,64.4,72,75,9.22
249,Tuatapere,NZ,2021-01-19 17:00:41,-46.1333,167.6833,46.0,86,99,11.99
250,Bubaque,GW,2021-01-19 17:00:41,11.2833,-15.8333,82.4,50,18,5.99
251,Flinders,AU,2021-01-19 17:00:41,-34.5833,150.8552,63.0,86,96,1.01
252,Dinard,FR,2021-01-19 17:00:42,48.6314,-2.0614,51.8,82,75,17.27
253,Port Blair,IN,2021-01-19 16:58:02,11.6667,92.75,77.94,75,67,10.49
254,Bahia Honda,CU,2021-01-19 17:00:42,22.9036,-83.1592,74.73,72,36,14.47
255,Cockburn Town,TC,2021-01-19 17:00:42,21.4612,-71.1419,82.4,65,40,14.97
256,Yumen,CN,2021-01-19 17:00:43,40.2833,97.2,17.94,75,61,10.83
257,Richards Bay,ZA,2021-01-19 16:58:26,-28.783,32.0377,76.62,67,0,13.67
258,Alice Springs,AU,2021-01-19 17:00:43,-23.7,133.8833,77.0,30,19,3.44
259,Shimoda,JP,2021-01-19 17:00:43,34.6667,138.95,41.45,67,71,8.3
260,Adamas,GR,2021-01-19 17:00:43,36.7333,24.4333,46.4,61,94,17.27
261,Walvis Bay,NA,2021-01-19 17:00:44,-22.9575,14.5053,75.2,57,24,17.27
