City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Yumen,CN,40.2833,97.2,21.4,81,100,22.21,overcast clouds
349,Kanniyakumari,IN,8.0833,77.5667,77.83,80,100,17.07,overcast clouds
350,Male,MV,4.1748,73.5089,84.2,74,20,6.91,few clouds
351,Belyy Yar,RU,53.6039,91.3903,3.2,72,0,4.72,clear sky
352,Taybad,IR,34.74,60.7756,31.42,77,0,3.83,clear sky
353,Cape Canaveral,US,28.4058,-80.6048,69.01,91,93,4.0,overcast clouds
354,Khromtau,KZ,50.2503,58.4347,0.57,93,85,8.25,overcast clouds
355,Bouna,CI,9.2667,-3.0,79.63,16,0,5.23,clear sky
356,Fairbanks,US,64.8378,-147.7164,21.99,78,40,3.44,scattered clouds
357,Clyde River,CA,70.4692,-68.5914,-7.6,84,75,8.05,mist
358,Bonaventure,CA,48.0457,-65.4926,23.0,58,0,17.27,clear sky
359,Hecelchakan,MX,20.1667,-90.1333,87.8,58,40,14.97,scattered clouds
360,Kansanshi,ZM,-12.0951,26.4273,63.61,95,100,4.03,light rain
361,Mingshui,CN,36.7167,117.5,37.0,60,100,3.33,overcast clouds
362,Hadgaon,IN,19.5,77.6667,69.6,46,0,3.47,clear sky
363,Tres Picos,MX,15.8667,-93.5333,88.95,48,97,6.49,overcast clouds
364,Manokwari,ID,-0.8667,134.0833,78.06,77,72,4.5,broken clouds
365,Yar-Sale,RU,66.8333,70.8333,-40.0,81,16,2.98,few clouds
366,Guerrero Negro,MX,27.9769,-114.0611,63.91,54,94,8.46,overcast clouds
367,Fortuna,US,40.5982,-124.1573,51.01,71,1,9.22,clear sky
368,Humaita,BR,-7.5061,-63.0208,82.87,74,90,3.06,overcast clouds
369,Henties Bay,NA,-22.116,14.2845,71.01,86,100,2.51,light rain
370,Nome,US,64.5011,-165.4064,32.0,93,90,3.44,light snow
371,Anadyr,RU,64.75,177.4833,-13.0,77,0,13.42,clear sky
372,Northam,GB,51.0333,-4.2167,35.01,80,0,1.99,clear sky
373,Arvika,SE,59.6553,12.5852,32.0,100,40,5.75,mist
374,Cassilandia,BR,-19.1133,-51.7342,85.3,63,99,2.98,overcast clouds
375,Kieta,PG,-6.2167,155.6333,77.45,72,100,3.24,overcast clouds
376,Puerto Escondido,MX,15.85,-97.0667,84.2,70,40,4.61,scattered clouds
377,Cabadiangan,PH,9.7531,122.4739,76.26,78,100,2.53,overcast clouds
378,Naberera,TZ,-4.2,36.9333,63.61,91,100,11.32,overcast clouds
379,Fukue,JP,32.6881,128.8419,55.47,86,97,30.85,overcast clouds
380,Port-Gentil,GA,-0.7193,8.7815,77.0,94,90,6.91,light rain
381,Tarn Taran,IN,31.45,74.9253,50.0,93,0,4.18,fog
382,Saint George,US,37.1041,-113.5841,48.99,43,20,5.75,few clouds
383,Besikduzu,TR,41.052,39.2284,44.6,61,0,1.14,clear sky
384,Guarapari,BR,-20.6667,-40.4975,82.4,74,20,10.36,light rain
385,Broken Hill,AU,-31.95,141.4333,86.0,17,100,10.36,overcast clouds
386,Bandundu,CD,-3.3167,17.3667,73.65,91,100,3.51,overcast clouds
387,Minsk,BY,53.9,27.5667,33.8,93,0,6.71,clear sky
388,Jian,CN,27.1172,114.9793,47.12,80,0,2.15,clear sky
389,Ambulu,ID,-8.345,113.6058,76.8,82,100,2.21,overcast clouds
390,Along,IN,28.1667,94.7667,49.59,65,0,1.68,clear sky
391,Sept-Iles,CA,50.2001,-66.3821,21.0,79,100,10.36,light snow
392,Fuzhou,CN,26.0614,119.3061,53.6,87,75,13.42,broken clouds
393,Darab,IR,28.7519,54.5444,45.79,48,100,0.78,overcast clouds
394,Portland,US,45.5234,-122.6762,44.01,65,20,3.44,few clouds
395,Hede,CN,33.7681,120.2517,33.04,93,97,4.43,overcast clouds
396,Kavieng,PG,-2.5744,150.7967,81.09,78,100,6.02,light rain
397,Tuatapere,NZ,-46.1333,167.6833,54.0,86,99,7.0,light rain
398,Cayenne,GF,4.9333,-52.3333,78.8,89,75,6.91,broken clouds
399,Davila,PH,18.4726,120.5763,76.1,85,98,22.41,overcast clouds
400,Lavrentiya,RU,65.5833,-171.0,-2.16,86,82,4.59,broken clouds
401,Marina,US,36.6844,-121.8022,54.0,76,1,6.91,clear sky
402,Mazagao,BR,-0.115,-51.2894,87.8,70,75,11.5,broken clouds
403,Santiago Del Estero,AR,-27.7951,-64.2615,95.86,32,31,4.85,scattered clouds
404,Lingao,CN,19.9103,109.6859,65.3,84,24,9.6,few clouds
405,Antalaha,MG,-14.9003,50.2788,76.62,87,25,5.64,moderate rain
406,Sistranda,NO,63.7256,8.834,35.6,100,75,12.66,broken clouds
407,Dumas,US,35.8656,-101.9732,60.8,36,1,21.85,clear sky
408,Sayama,JP,35.853,139.4121,37.0,91,100,1.99,light rain
409,Lac Du Bonnet,CA,50.2536,-96.0612,23.0,100,100,5.99,light snow
410,Port Lincoln,AU,-34.7333,135.8667,75.45,45,100,4.54,overcast clouds
411,Nexo,DK,55.0607,15.1306,35.6,100,90,1.14,overcast clouds
412,Lodeynoye Pole,RU,60.726,33.5531,33.44,96,100,5.99,overcast clouds
413,Progreso,MX,21.2833,-89.6667,91.0,35,40,9.22,scattered clouds
414,Iqaluit,CA,63.7506,-68.5145,14.0,85,20,8.05,few clouds
415,Baghdad,IQ,33.3406,44.4009,39.2,56,0,5.23,clear sky
416,Pustoshka,RU,56.3355,29.369,36.28,97,100,8.5,overcast clouds
417,Xiamen,CN,24.4798,118.0819,60.8,82,75,11.18,broken clouds
418,China,MX,25.7,-99.2333,80.85,50,54,9.22,broken clouds
419,Black Diamond,US,47.3087,-122.0032,41.0,84,1,2.64,clear sky
420,Marystown,CA,47.1666,-55.1483,28.94,91,3,22.01,clear sky
421,Nemuro,JP,43.3236,145.575,19.31,91,0,4.09,clear sky
422,Kuchaman,IN,27.15,74.85,55.13,36,0,9.35,clear sky
423,Maningrida,AU,-12.0667,134.2667,77.2,89,100,7.27,overcast clouds
424,Aden,YE,12.7794,45.0367,76.37,71,89,14.63,overcast clouds
425,Amahai,ID,-3.3333,128.9167,82.0,86,100,3.96,overcast clouds
426,Dudinka,RU,69.4058,86.1778,-40.7,78,23,1.21,few clouds
427,Bouca,CF,6.5105,18.2733,76.98,22,1,3.53,clear sky
428,Pasighat,IN,28.0667,95.3333,59.2,54,56,3.71,broken clouds
429,Halifax,CA,44.6453,-63.5724,30.2,86,99,2.3,snow
430,Muswellbrook,AU,-32.2667,150.9,73.99,65,0,3.0,clear sky
431,Araouane,ML,18.9048,-3.5265,68.77,16,0,10.0,clear sky
